season,episode,baker,age,hometown,occupation,series.x,na_4,in_stayed_in_out_eliminated_star_baker_star_baker_winner_series_winner_runner_up_series_runner_up_wd_withdrew,series.y,signature_bake,show_stopper
NA,4,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,4,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,4,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,5,Briony,NA,NA,NA,9,6,IN,NA,NA,NA
NA,5,Dan,NA,NA,NA,9,2,IN,NA,NA,NA
NA,5,Jon,NA,NA,NA,9,7,IN,NA,NA,NA
NA,5,Manon,NA,NA,NA,9,5,IN,NA,NA,NA
NA,5,Rahul,NA,NA,NA,9,3,IN,NA,NA,NA
NA,5,Karen,NA,NA,NA,9,9,OUT,NA,NA,NA
NA,5,Terry,NA,NA,NA,9,8,OUT,NA,NA,NA
NA,5,Kim-Joy,NA,NA,NA,9,4,STAR BAKER,NA,NA,NA
NA,5,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,5,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,5,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,6,Jon,NA,NA,NA,9,2,IN,NA,NA,NA
NA,6,Kim-Joy,NA,NA,NA,9,5,IN,NA,NA,NA
NA,6,Manon,NA,NA,NA,9,4,IN,NA,NA,NA
NA,6,Rahul,NA,NA,NA,9,3,IN,NA,NA,NA
NA,6,Dan,NA,NA,NA,9,6,OUT,NA,NA,NA
NA,6,Briony,NA,NA,NA,9,1,STAR BAKER,NA,NA,NA
NA,6,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,6,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,6,Karen,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,6,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,6,Terry,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Briony,NA,NA,NA,9,5,IN,NA,NA,NA
NA,7,Manon,NA,NA,NA,9,2,IN,NA,NA,NA
NA,7,Rahul,NA,NA,NA,9,1,IN,NA,NA,NA
NA,7,Jon,NA,NA,NA,9,4,OUT,NA,NA,NA
NA,7,Kim-Joy,NA,NA,NA,9,6,STAR BAKER,NA,NA,NA
NA,7,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Dan,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Karen,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,7,Terry,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Briony,NA,NA,NA,9,1,IN,NA,NA,NA
NA,8,Kim-Joy,NA,NA,NA,9,2,IN,NA,NA,NA
NA,8,Rahul,NA,NA,NA,9,5,IN,NA,NA,NA
NA,8,Manon,NA,NA,NA,9,4,OUT,NA,NA,NA
NA,8,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Dan,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Jon,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Karen,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,8,Terry,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Kim-Joy,NA,NA,NA,9,2,IN,NA,NA,NA
NA,9,Rahul,NA,NA,NA,9,4,IN,NA,NA,NA
NA,9,Briony,NA,NA,NA,9,3,OUT,NA,NA,NA
NA,9,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Dan,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Jon,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Karen,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Manon,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,9,Terry,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Kim-Joy,NA,NA,NA,9,1,Runner-up,NA,NA,NA
NA,10,Rahul,NA,NA,NA,9,2,WINNER,NA,NA,NA
NA,10,Antony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Briony,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Dan,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Imelda,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Jon,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Karen,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Luke,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Manon,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,10,Terry,NA,NA,NA,9,NA,NA,NA,NA,NA
NA,1,Alice,NA,NA,NA,10,5,IN,NA,NA,NA
NA,1,Amelia,NA,NA,NA,10,4,IN,NA,NA,NA
NA,1,Helena,NA,NA,NA,10,12,IN,NA,NA,NA
NA,1,Henry,NA,NA,NA,10,1,IN,NA,NA,NA
NA,1,Jamie,NA,NA,NA,10,13,IN,NA,NA,NA
NA,1,Phil,NA,NA,NA,10,8,IN,NA,NA,NA
NA,1,Priya,NA,NA,NA,10,7,IN,NA,NA,NA
NA,1,Rosie,NA,NA,NA,10,2,IN,NA,NA,NA
NA,1,Steph,NA,NA,NA,10,3,IN,NA,NA,NA
NA,1,Michelle,NA,NA,NA,10,6,STAR BAKER,NA,NA,NA
NA,2,Amelia,NA,NA,NA,10,9,IN,NA,NA,NA
NA,2,Helena,NA,NA,NA,10,12,IN,NA,NA,NA
NA,2,Henry,NA,NA,NA,10,6,IN,NA,NA,NA
NA,2,Michelle,NA,NA,NA,10,8,IN,NA,NA,NA
NA,2,Phil,NA,NA,NA,10,3,IN,NA,NA,NA
NA,2,Priya,NA,NA,NA,10,7,IN,NA,NA,NA
NA,2,Rosie,NA,NA,NA,10,5,IN,NA,NA,NA
NA,2,Steph,NA,NA,NA,10,10,IN,NA,NA,NA
NA,2,Jamie,NA,NA,NA,10,11,OUT,NA,NA,NA
NA,2,Alice,NA,NA,NA,10,1,STAR BAKER,NA,NA,NA
NA,3,Alice,NA,NA,NA,10,7,IN,NA,NA,NA
NA,3,Helena,NA,NA,NA,10,8,IN,NA,NA,NA
NA,3,Henry,NA,NA,NA,10,1,IN,NA,NA,NA
NA,3,Michelle,NA,NA,NA,10,5,IN,NA,NA,NA
NA,3,Phil,NA,NA,NA,10,10,IN,NA,NA,NA
NA,3,Priya,NA,NA,NA,10,4,IN,NA,NA,NA
NA,3,Rosie,NA,NA,NA,10,9,IN,NA,NA,NA
NA,3,Steph,NA,NA,NA,10,3,IN,NA,NA,NA
NA,3,Amelia,NA,NA,NA,10,11,OUT,NA,NA,NA
NA,3,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,4,Alice,NA,NA,NA,10,8,IN,NA,NA,NA
NA,4,Helena,NA,NA,NA,10,9,IN,NA,NA,NA
NA,4,Henry,NA,NA,NA,10,3,IN,NA,NA,NA
NA,4,Michelle,NA,NA,NA,10,5,IN,NA,NA,NA
NA,4,Priya,NA,NA,NA,10,10,IN,NA,NA,NA
NA,4,Rosie,NA,NA,NA,10,4,IN,NA,NA,NA
NA,4,Phil,NA,NA,NA,10,6,OUT,NA,NA,NA
NA,4,Steph,NA,NA,NA,10,1,STAR BAKER,NA,NA,NA
NA,4,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,4,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,5,Alice,NA,NA,NA,10,6,IN,NA,NA,NA
NA,5,Henry,NA,NA,NA,10,3,IN,NA,NA,NA
NA,5,Priya,NA,NA,NA,10,2,IN,NA,NA,NA
NA,5,Rosie,NA,NA,NA,10,5,IN,NA,NA,NA
NA,5,Helena,NA,NA,NA,10,1,OUT,NA,NA,NA
NA,5,Michelle,NA,NA,NA,10,7,OUT,NA,NA,NA
NA,5,Steph,NA,NA,NA,10,4,STAR BAKER,NA,NA,NA
NA,5,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,5,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,5,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,6,Alice,NA,NA,NA,10,1,IN,NA,NA,NA
NA,6,Henry,NA,NA,NA,10,4,IN,NA,NA,NA
NA,6,Rosie,NA,NA,NA,10,5,IN,NA,NA,NA
NA,6,Priya,NA,NA,NA,10,7,OUT,NA,NA,NA
NA,6,Steph,NA,NA,NA,10,3,STAR BAKER,NA,NA,NA
NA,6,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,6,Helena,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,6,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,6,Michelle,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,6,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Alice,NA,NA,NA,10,6,IN,NA,NA,NA
NA,7,David,NA,NA,NA,10,2,IN,NA,NA,NA
NA,7,Rosie,NA,NA,NA,10,1,IN,NA,NA,NA
NA,7,Steph,NA,NA,NA,10,4,IN,NA,NA,NA
NA,7,Henry,NA,NA,NA,10,3,STAR BAKER,NA,NA,NA
NA,7,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Helena,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Michelle,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,7,Priya,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Alice,NA,NA,NA,10,3,IN,NA,NA,NA
NA,8,David,NA,NA,NA,10,1,IN,NA,NA,NA
NA,8,Rosie,NA,NA,NA,10,2,IN,NA,NA,NA
NA,8,Henry,NA,NA,NA,10,5,OUT,NA,NA,NA
NA,8,Steph,NA,NA,NA,10,4,STAR BAKER,NA,NA,NA
NA,8,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Helena,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Michelle,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,8,Priya,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,David,NA,NA,NA,10,2,IN,NA,NA,NA
NA,9,Steph,NA,NA,NA,10,3,IN,NA,NA,NA
NA,9,Rosie,NA,NA,NA,10,1,OUT,NA,NA,NA
NA,9,Alice,NA,NA,NA,10,4,STAR BAKER,NA,NA,NA
NA,9,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Helena,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Henry,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Michelle,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,9,Priya,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Alice,NA,NA,NA,10,2,Runner-up,NA,NA,NA
NA,10,Steph,NA,NA,NA,10,3,Runner-up,NA,NA,NA
NA,10,David,NA,NA,NA,10,1,WINNER,NA,NA,NA
NA,10,Amelia,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Helena,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Henry,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Jamie,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Michelle,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Phil,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Priya,NA,NA,NA,10,NA,NA,NA,NA,NA
NA,10,Rosie,NA,NA,NA,10,NA,NA,NA,NA,NA
